0. 2
0,1. 0,5067089541001375
0,2. -0,45848922172366985
0,3. -1,0075127801271362
0,4. -1,2333888847055765
0,5. -1,2130613194252668
0,6. -1,0098134104130088
0,7. -0,6753560131563171
0,8. -0,2516242199056439
0,9. 0,22767900945473563
1. 0,7357588823428847
1,1. 1,2515952747047798
1,2. 1,7589741975672601
1,3. 2,245661974600264
1,4. 2,7027027248000066
1,5. 3,1238222420780173
1,6. 3,5049235523872184
1,7. 3,8436613460695375
1,8. 4,139084161068526
1,9. 4,391334660376565
2. 4,601399630044832
2,1. 4,770902444736175
2,2. 4,901931725949652
2,3. 4,996900771144538
2,4. 5,058433075417641
2,5. 5,089269914681726
2,6. 5,0921965223747305
2,7. 5,069983881086722
2,8. 5,025343575348013
2,9. 4,960893520285675
3. 4,879132700050667
3,1. 4,782423326100096
3,2. 4,672979064079903
3,3. 4,552858184009067
3,4. 4,423960665940825
3,5. 4,2880284459692275
3,6. 4,146648118601119
3,7. 4,001255523959728
3,8. 3,853141744505963
3,9. 3,703460118124371
4. 3,5532339444144307
4,1. 3,403364620505691
4,2. 3,2546399931164807
4,3. 3,1077427561545017
4,4. 2,963258759004598
4,5. 2,8216851207135454
4,6. 2,6834380703873815
4,7. 2,5488604549792355
4,8. 2,4182288728840455
4,9. 2,2917604059076746
5. 2,1696189337055203
5,1. 2,051921024089943
5,2. 1,9387414000321657
5,3. 1,8301179900295617
5,4. 1,7260565730288566
5,5. 1,6265350325086985
5,6. 1,5315072368185711
5,7. 1,4409065646054289
5,8. 1,354649095270955
5,9. 1,2726364850070335
6. 1,194758549153185
6,1. 1,120895571490225
6,2. 1,0509203606993829
6,3. 0,984700073633981
6,4. 0,9220978243206064
6,5. 0,8629740967691265
6,6. 0,8071879787594182
6,7. 0,754598232814951
6,8. 0,7050642195916742
6,9. 0,6584466879231348
7. 0,614608444783744
7,1. 0,573414917472873
7,2. 0,5347346193917127
7,3. 0,4984395298890261
7,4. 0,464405397795804
7,5. 0,4325119774556059
7,6. 0,4026432052889778
7,7. 0,3746873242078513
7,8. 0,34853696251936583
7,9. 0,3240891733277166
8. 0,3012454398564557
8,1. 0,2799116515708078
8,2. 0,25999805547842897
8,3. 0,24141918652574879
8,4. 0,22409378058367296
8,5. 0,20794467312887835
8,6. 0,19289868637314278
8,7. 0,17888650727096037
8,8. 0,16584255854304708
8,9. 0,1537048645881676
9. 0,1424149139160282
9,1. 0,131917519517882
9,2. 0,12216067839711942
9,3. 0,11309543130775947
9,4. 0,10467572359274016
9,5. 0,09685826787468457
9,6. 0,08960240922794006
9,7. 0,08286999335076908
9,8. 0,0766252381593594
9,9. 0,07083460913962603
